Unnamed: 0,Method,correlation,n_samples,prob_data,V2,mean,sd
1,CPI-DNN,0.8,100,Classification,0.620833333333333,0.62315,0.070104897754104
2,CPI-DNN,0.8,200,Classification,0.690833333333333,0.692533333333333,0.061997465644592
3,CPI-DNN,0.8,300,Classification,0.731666666666667,0.726066666666667,0.074754187522764
4,CPI-DNN,0.8,400,Classification,0.7775,0.770066666666667,0.067716448490629
5,CPI-DNN,0.8,500,Classification,0.811666666666667,0.806483333333333,0.059521989919278
6,CPI-DNN,0.8,600,Classification,0.830833333333333,0.827383333333333,0.06030704032993
7,CPI-DNN,0.8,700,Classification,0.841666666666667,0.83885,0.054495283931908
8,CPI-DNN,0.8,800,Classification,0.861666666666666,0.859783333333333,0.054916350530198
9,CPI-DNN,0.8,900,Classification,0.871666666666666,0.862649999999999,0.061900818083942
10,CPI-DNN,0.8,1000,Classification,0.8725,0.87475,0.052974579910772
11,CPI-DNN,0.8,100,Plain linear,0.721666666666666,0.712933333333333,0.074893909252339
12,CPI-DNN,0.8,200,Plain linear,0.813333333333333,0.813283333333333,0.061818429597774
13,CPI-DNN,0.8,300,Plain linear,0.8625,0.855983333333333,0.060127574343296
14,CPI-DNN,0.8,400,Plain linear,0.903333333333333,0.901166666666667,0.045903756732482
15,CPI-DNN,0.8,500,Plain linear,0.9325,0.92285,0.046744340721098
16,CPI-DNN,0.8,600,Plain linear,0.9475,0.943166666666667,0.037506826913182
17,CPI-DNN,0.8,700,Plain linear,0.9625,0.953816666666667,0.038101918230445
18,CPI-DNN,0.8,800,Plain linear,0.971666666666667,0.965183333333334,0.03041325450166
19,CPI-DNN,0.8,900,Plain linear,0.985,0.974216666666667,0.029219605636205
20,CPI-DNN,0.8,1000,Plain linear,0.978333333333333,0.973066666666667,0.025029410310101
21,CPI-DNN,0.8,100,Main effects and Interactions,0.585833333333333,0.575533333333333,0.079605114071318
22,CPI-DNN,0.8,200,Main effects and Interactions,0.7,0.689216666666667,0.079767287442306
23,CPI-DNN,0.8,300,Main effects and Interactions,0.779166666666666,0.777016666666667,0.071143574897233
24,CPI-DNN,0.8,400,Main effects and Interactions,0.8575,0.85545,0.054025836089853
25,CPI-DNN,0.8,500,Main effects and Interactions,0.9075,0.898366666666666,0.045372866007086
26,CPI-DNN,0.8,600,Main effects and Interactions,0.935,0.937983333333334,0.032171062660834
27,CPI-DNN,0.8,700,Main effects and Interactions,0.961666666666667,0.95875,0.023683489776446
28,CPI-DNN,0.8,800,Main effects and Interactions,0.98,0.9743,0.020014276610408
29,CPI-DNN,0.8,900,Main effects and Interactions,0.986666666666667,0.9808,0.019210687261275
30,CPI-DNN,0.8,1000,Main effects and Interactions,0.995,0.988816666666667,0.013639776041422
31,CPI-DNN,0.8,100,Interactions only,0.571666666666667,0.570016666666667,0.085692693120948
32,CPI-DNN,0.8,200,Interactions only,0.669166666666667,0.666316666666667,0.08007197064269
33,CPI-DNN,0.8,300,Interactions only,0.766666666666667,0.760683333333333,0.072651055917488
34,CPI-DNN,0.8,400,Interactions only,0.841666666666666,0.8401,0.059462057241597
35,CPI-DNN,0.8,500,Interactions only,0.891666666666667,0.884866666666666,0.046501439100138
36,CPI-DNN,0.8,600,Interactions only,0.925,0.922983333333333,0.035353192278278
37,CPI-DNN,0.8,700,Interactions only,0.950833333333333,0.948233333333333,0.028196659862206
38,CPI-DNN,0.8,800,Interactions only,0.968333333333333,0.963833333333333,0.026493016253595
39,CPI-DNN,0.8,900,Interactions only,0.980833333333333,0.975383333333334,0.021755006390031
40,CPI-DNN,0.8,1000,Interactions only,0.991666666666667,0.984983333333333,0.01814719557041
41,CPI-DNN,0.8,100,Regression with ReLu,0.659166666666667,0.647833333333333,0.068447797700883
42,CPI-DNN,0.8,200,Regression with ReLu,0.751666666666666,0.75225,0.068100891928678
43,CPI-DNN,0.8,300,Regression with ReLu,0.796666666666667,0.8012,0.051628953326102
44,CPI-DNN,0.8,400,Regression with ReLu,0.845,0.850033333333333,0.059466851247619
45,CPI-DNN,0.8,500,Regression with ReLu,0.873333333333333,0.870516666666666,0.056688792966828
46,CPI-DNN,0.8,600,Regression with ReLu,0.904166666666666,0.9,0.048039569361797
47,CPI-DNN,0.8,700,Regression with ReLu,0.921666666666666,0.915733333333333,0.044996770054927
48,CPI-DNN,0.8,800,Regression with ReLu,0.928333333333333,0.925,0.043348870563425
49,CPI-DNN,0.8,900,Regression with ReLu,0.950833333333333,0.937983333333333,0.039933513065705
50,CPI-DNN,0.8,1000,Regression with ReLu,0.943333333333333,0.937083333333333,0.037964759339941
51,Permfit-DNN,0.8,100,Classification,0.621666666666667,0.624716666666667,0.07593711402335
52,Permfit-DNN,0.8,200,Classification,0.675833333333333,0.6736,0.064323606668623
53,Permfit-DNN,0.8,300,Classification,0.715,0.713816666666667,0.063012342243182
54,Permfit-DNN,0.8,400,Classification,0.756666666666666,0.755166666666667,0.053963293422817
55,Permfit-DNN,0.8,500,Classification,0.789166666666667,0.785266666666667,0.061283833047889
56,Permfit-DNN,0.8,600,Classification,0.814166666666666,0.809083333333333,0.062468566730838
57,Permfit-DNN,0.8,700,Classification,0.8175,0.815783333333334,0.055520420708064
58,Permfit-DNN,0.8,800,Classification,0.845,0.835116666666667,0.059980007424846
59,Permfit-DNN,0.8,900,Classification,0.855,0.847433333333333,0.063112951673261
60,Permfit-DNN,0.8,1000,Classification,0.848333333333333,0.846966666666666,0.056131549433014
61,Permfit-DNN,0.8,100,Plain linear,0.683333333333333,0.679583333333333,0.071115204664373
62,Permfit-DNN,0.8,200,Plain linear,0.790833333333333,0.784583333333334,0.057790099210668
63,Permfit-DNN,0.8,300,Plain linear,0.846666666666666,0.840016666666667,0.067606795011759
64,Permfit-DNN,0.8,400,Plain linear,0.890833333333333,0.88385,0.05250123989771
65,Permfit-DNN,0.8,500,Plain linear,0.918333333333333,0.90805,0.052046262227914
66,Permfit-DNN,0.8,600,Plain linear,0.938333333333333,0.93595,0.045233063376768
67,Permfit-DNN,0.8,700,Plain linear,0.9575,0.952116666666667,0.04094688396444
68,Permfit-DNN,0.8,800,Plain linear,0.970833333333333,0.964183333333334,0.032307875534439
69,Permfit-DNN,0.8,900,Plain linear,0.985,0.97495,0.025548368554616
70,Permfit-DNN,0.8,1000,Plain linear,0.9775,0.970916666666667,0.025982786972441
71,Permfit-DNN,0.8,100,Main effects and Interactions,0.5875,0.585383333333333,0.089421653097271
72,Permfit-DNN,0.8,200,Main effects and Interactions,0.688333333333333,0.677033333333333,0.077518536214186
73,Permfit-DNN,0.8,300,Main effects and Interactions,0.748333333333333,0.7404,0.069767981683849
74,Permfit-DNN,0.8,400,Main effects and Interactions,0.805833333333333,0.805383333333333,0.064389498955634
75,Permfit-DNN,0.8,500,Main effects and Interactions,0.855833333333333,0.852033333333333,0.053897260622237
76,Permfit-DNN,0.8,600,Main effects and Interactions,0.891666666666667,0.889383333333333,0.043134518663557
77,Permfit-DNN,0.8,700,Main effects and Interactions,0.931666666666667,0.925033333333333,0.036819378955472
78,Permfit-DNN,0.8,800,Main effects and Interactions,0.953333333333333,0.947566666666666,0.03427902605654
79,Permfit-DNN,0.8,900,Main effects and Interactions,0.97,0.964,0.029029378671239
80,Permfit-DNN,0.8,1000,Main effects and Interactions,0.9825,0.975983333333333,0.022595470231264
81,Permfit-DNN,0.8,100,Interactions only,0.585833333333333,0.5751,0.09282262268276
82,Permfit-DNN,0.8,200,Interactions only,0.665,0.660716666666667,0.074355915625807
83,Permfit-DNN,0.8,300,Interactions only,0.728333333333333,0.723316666666667,0.07693719471371
84,Permfit-DNN,0.8,400,Interactions only,0.791666666666667,0.786933333333333,0.070589834987705
85,Permfit-DNN,0.8,500,Interactions only,0.841666666666666,0.833016666666667,0.0556376640712
86,Permfit-DNN,0.8,600,Interactions only,0.871666666666667,0.865266666666667,0.051014247256233
87,Permfit-DNN,0.8,700,Interactions only,0.914166666666667,0.906933333333333,0.039543353015099
88,Permfit-DNN,0.8,800,Interactions only,0.935833333333333,0.928033333333334,0.038180694494715
89,Permfit-DNN,0.8,900,Interactions only,0.948333333333333,0.94845,0.029499429315943
90,Permfit-DNN,0.8,1000,Interactions only,0.968333333333333,0.963916666666667,0.027631305746183
91,Permfit-DNN,0.8,100,Regression with ReLu,0.636666666666667,0.632533333333333,0.072229401352587
92,Permfit-DNN,0.8,200,Regression with ReLu,0.718333333333333,0.722466666666667,0.057335858530249
93,Permfit-DNN,0.8,300,Regression with ReLu,0.7825,0.7832,0.060502794177251
94,Permfit-DNN,0.8,400,Regression with ReLu,0.828333333333333,0.82885,0.054428824289895
95,Permfit-DNN,0.8,500,Regression with ReLu,0.865833333333333,0.86115,0.053850447082211
96,Permfit-DNN,0.8,600,Regression with ReLu,0.900833333333333,0.893566666666667,0.053992673153019
97,Permfit-DNN,0.8,700,Regression with ReLu,0.9075,0.907483333333333,0.044140688630979
98,Permfit-DNN,0.8,800,Regression with ReLu,0.921666666666667,0.922566666666667,0.042429991192993
99,Permfit-DNN,0.8,900,Regression with ReLu,0.9375,0.93085,0.042504700340859
100,Permfit-DNN,0.8,1000,Regression with ReLu,0.934166666666667,0.931466666666667,0.037466992581589
