"","method","correlation","n_samples","prob_data","iteration","prob_type","V1"
"1","Permfit-DNN",0.8,10000,"regression_combine",1,"regression",1
"2","Permfit-DNN",0.8,10000,"regression_combine",2,"regression",1
"3","Permfit-DNN",0.8,10000,"regression_combine",3,"regression",1
"4","Permfit-DNN",0.8,10000,"regression_combine",4,"regression",1
"5","Permfit-DNN",0.8,10000,"regression_combine",5,"regression",1
"6","Permfit-DNN",0.8,10000,"regression_combine",6,"regression",1
"7","Permfit-DNN",0.8,10000,"regression_combine",7,"regression",1
"8","Permfit-DNN",0.8,10000,"regression_combine",8,"regression",1
"9","Permfit-DNN",0.8,10000,"regression_combine",9,"regression",1
"10","Permfit-DNN",0.8,10000,"regression_combine",10,"regression",1
"11","Permfit-DNN",0.8,10000,"regression_combine",11,"regression",1
"12","Permfit-DNN",0.8,10000,"regression_combine",12,"regression",1
"13","Permfit-DNN",0.8,10000,"regression_combine",13,"regression",1
"14","Permfit-DNN",0.8,10000,"regression_combine",14,"regression",1
"15","Permfit-DNN",0.8,10000,"regression_combine",15,"regression",1
"16","Permfit-DNN",0.8,10000,"regression_combine",16,"regression",1
"17","Permfit-DNN",0.8,10000,"regression_combine",17,"regression",1
"18","Permfit-DNN",0.8,10000,"regression_combine",18,"regression",1
"19","Permfit-DNN",0.8,10000,"regression_combine",19,"regression",1
"20","Permfit-DNN",0.8,10000,"regression_combine",20,"regression",1
"21","Permfit-DNN",0.8,10000,"regression_combine",21,"regression",1
"22","Permfit-DNN",0.8,10000,"regression_combine",22,"regression",1
"23","Permfit-DNN",0.8,10000,"regression_combine",23,"regression",1
"24","Permfit-DNN",0.8,10000,"regression_combine",24,"regression",1
"25","Permfit-DNN",0.8,10000,"regression_combine",25,"regression",1
"26","Permfit-DNN",0.8,10000,"regression_combine",26,"regression",1
"27","Permfit-DNN",0.8,10000,"regression_combine",27,"regression",1
"28","Permfit-DNN",0.8,10000,"regression_combine",28,"regression",1
"29","Permfit-DNN",0.8,10000,"regression_combine",29,"regression",1
"30","Permfit-DNN",0.8,10000,"regression_combine",30,"regression",1
"31","Permfit-DNN",0.8,10000,"regression_combine",31,"regression",1
"32","Permfit-DNN",0.8,10000,"regression_combine",32,"regression",1
"33","Permfit-DNN",0.8,10000,"regression_combine",33,"regression",1
"34","Permfit-DNN",0.8,10000,"regression_combine",34,"regression",1
"35","Permfit-DNN",0.8,10000,"regression_combine",35,"regression",1
"36","Permfit-DNN",0.8,10000,"regression_combine",36,"regression",1
"37","Permfit-DNN",0.8,10000,"regression_combine",37,"regression",1
"38","Permfit-DNN",0.8,10000,"regression_combine",38,"regression",1
"39","Permfit-DNN",0.8,10000,"regression_combine",39,"regression",1
"40","Permfit-DNN",0.8,10000,"regression_combine",40,"regression",1
"41","Permfit-DNN",0.8,10000,"regression_combine",41,"regression",1
"42","Permfit-DNN",0.8,10000,"regression_combine",42,"regression",1
"43","Permfit-DNN",0.8,10000,"regression_combine",43,"regression",1
"44","Permfit-DNN",0.8,10000,"regression_combine",44,"regression",1
"45","Permfit-DNN",0.8,10000,"regression_combine",45,"regression",1
"46","Permfit-DNN",0.8,10000,"regression_combine",46,"regression",1
"47","Permfit-DNN",0.8,10000,"regression_combine",47,"regression",1
"48","Permfit-DNN",0.8,10000,"regression_combine",48,"regression",1
"49","Permfit-DNN",0.8,10000,"regression_combine",49,"regression",1
"50","Permfit-DNN",0.8,10000,"regression_combine",50,"regression",1
"51","Permfit-DNN",0.8,10000,"regression_combine",51,"regression",1
"52","Permfit-DNN",0.8,10000,"regression_combine",52,"regression",1
"53","Permfit-DNN",0.8,10000,"regression_combine",53,"regression",1
"54","Permfit-DNN",0.8,10000,"regression_combine",54,"regression",1
"55","Permfit-DNN",0.8,10000,"regression_combine",55,"regression",1
"56","Permfit-DNN",0.8,10000,"regression_combine",56,"regression",1
"57","Permfit-DNN",0.8,10000,"regression_combine",57,"regression",1
"58","Permfit-DNN",0.8,10000,"regression_combine",58,"regression",1
"59","Permfit-DNN",0.8,10000,"regression_combine",59,"regression",1
"60","Permfit-DNN",0.8,10000,"regression_combine",60,"regression",1
"61","Permfit-DNN",0.8,10000,"regression_combine",61,"regression",1
"62","Permfit-DNN",0.8,10000,"regression_combine",62,"regression",1
"63","Permfit-DNN",0.8,10000,"regression_combine",63,"regression",1
"64","Permfit-DNN",0.8,10000,"regression_combine",64,"regression",1
"65","Permfit-DNN",0.8,10000,"regression_combine",65,"regression",1
"66","Permfit-DNN",0.8,10000,"regression_combine",66,"regression",1
"67","Permfit-DNN",0.8,10000,"regression_combine",67,"regression",1
"68","Permfit-DNN",0.8,10000,"regression_combine",68,"regression",1
"69","Permfit-DNN",0.8,10000,"regression_combine",69,"regression",1
"70","Permfit-DNN",0.8,10000,"regression_combine",70,"regression",1
"71","Permfit-DNN",0.8,10000,"regression_combine",71,"regression",1
"72","Permfit-DNN",0.8,10000,"regression_combine",72,"regression",1
"73","Permfit-DNN",0.8,10000,"regression_combine",73,"regression",1
"74","Permfit-DNN",0.8,10000,"regression_combine",74,"regression",1
"75","Permfit-DNN",0.8,10000,"regression_combine",75,"regression",1
"76","Permfit-DNN",0.8,10000,"regression_combine",76,"regression",1
"77","Permfit-DNN",0.8,10000,"regression_combine",77,"regression",1
"78","Permfit-DNN",0.8,10000,"regression_combine",78,"regression",1
"79","Permfit-DNN",0.8,10000,"regression_combine",79,"regression",1
"80","Permfit-DNN",0.8,10000,"regression_combine",80,"regression",1
"81","Permfit-DNN",0.8,10000,"regression_combine",81,"regression",1
"82","Permfit-DNN",0.8,10000,"regression_combine",82,"regression",1
"83","Permfit-DNN",0.8,10000,"regression_combine",83,"regression",1
"84","Permfit-DNN",0.8,10000,"regression_combine",84,"regression",1
"85","Permfit-DNN",0.8,10000,"regression_combine",85,"regression",1
"86","Permfit-DNN",0.8,10000,"regression_combine",86,"regression",1
"87","Permfit-DNN",0.8,10000,"regression_combine",87,"regression",1
"88","Permfit-DNN",0.8,10000,"regression_combine",88,"regression",1
"89","Permfit-DNN",0.8,10000,"regression_combine",89,"regression",1
"90","Permfit-DNN",0.8,10000,"regression_combine",90,"regression",1
"91","Permfit-DNN",0.8,10000,"regression_combine",91,"regression",1
"92","Permfit-DNN",0.8,10000,"regression_combine",92,"regression",1
"93","Permfit-DNN",0.8,10000,"regression_combine",93,"regression",1
"94","Permfit-DNN",0.8,10000,"regression_combine",94,"regression",1
"95","Permfit-DNN",0.8,10000,"regression_combine",95,"regression",1
"96","Permfit-DNN",0.8,10000,"regression_combine",96,"regression",1
"97","Permfit-DNN",0.8,10000,"regression_combine",97,"regression",1
"98","Permfit-DNN",0.8,10000,"regression_combine",98,"regression",1
"99","Permfit-DNN",0.8,10000,"regression_combine",99,"regression",1
"100","Permfit-DNN",0.8,10000,"regression_combine",100,"regression",1
"101","CPI-DNN",0.8,10000,"regression_combine",1,"regression",1
"102","CPI-DNN",0.8,10000,"regression_combine",2,"regression",1
"103","CPI-DNN",0.8,10000,"regression_combine",3,"regression",1
"104","CPI-DNN",0.8,10000,"regression_combine",4,"regression",1
"105","CPI-DNN",0.8,10000,"regression_combine",5,"regression",1
"106","CPI-DNN",0.8,10000,"regression_combine",6,"regression",1
"107","CPI-DNN",0.8,10000,"regression_combine",7,"regression",1
"108","CPI-DNN",0.8,10000,"regression_combine",8,"regression",1
"109","CPI-DNN",0.8,10000,"regression_combine",9,"regression",1
"110","CPI-DNN",0.8,10000,"regression_combine",10,"regression",1
"111","CPI-DNN",0.8,10000,"regression_combine",11,"regression",1
"112","CPI-DNN",0.8,10000,"regression_combine",12,"regression",1
"113","CPI-DNN",0.8,10000,"regression_combine",13,"regression",1
"114","CPI-DNN",0.8,10000,"regression_combine",14,"regression",1
"115","CPI-DNN",0.8,10000,"regression_combine",15,"regression",1
"116","CPI-DNN",0.8,10000,"regression_combine",16,"regression",1
"117","CPI-DNN",0.8,10000,"regression_combine",17,"regression",1
"118","CPI-DNN",0.8,10000,"regression_combine",18,"regression",1
"119","CPI-DNN",0.8,10000,"regression_combine",19,"regression",1
"120","CPI-DNN",0.8,10000,"regression_combine",20,"regression",1
"121","CPI-DNN",0.8,10000,"regression_combine",21,"regression",1
"122","CPI-DNN",0.8,10000,"regression_combine",22,"regression",1
"123","CPI-DNN",0.8,10000,"regression_combine",23,"regression",1
"124","CPI-DNN",0.8,10000,"regression_combine",24,"regression",1
"125","CPI-DNN",0.8,10000,"regression_combine",25,"regression",1
"126","CPI-DNN",0.8,10000,"regression_combine",26,"regression",1
"127","CPI-DNN",0.8,10000,"regression_combine",27,"regression",1
"128","CPI-DNN",0.8,10000,"regression_combine",28,"regression",1
"129","CPI-DNN",0.8,10000,"regression_combine",29,"regression",1
"130","CPI-DNN",0.8,10000,"regression_combine",30,"regression",1
"131","CPI-DNN",0.8,10000,"regression_combine",31,"regression",1
"132","CPI-DNN",0.8,10000,"regression_combine",32,"regression",1
"133","CPI-DNN",0.8,10000,"regression_combine",33,"regression",1
"134","CPI-DNN",0.8,10000,"regression_combine",34,"regression",1
"135","CPI-DNN",0.8,10000,"regression_combine",35,"regression",1
"136","CPI-DNN",0.8,10000,"regression_combine",36,"regression",1
"137","CPI-DNN",0.8,10000,"regression_combine",37,"regression",1
"138","CPI-DNN",0.8,10000,"regression_combine",38,"regression",1
"139","CPI-DNN",0.8,10000,"regression_combine",39,"regression",1
"140","CPI-DNN",0.8,10000,"regression_combine",40,"regression",1
"141","CPI-DNN",0.8,10000,"regression_combine",41,"regression",1
"142","CPI-DNN",0.8,10000,"regression_combine",42,"regression",1
"143","CPI-DNN",0.8,10000,"regression_combine",43,"regression",1
"144","CPI-DNN",0.8,10000,"regression_combine",44,"regression",1
"145","CPI-DNN",0.8,10000,"regression_combine",45,"regression",1
"146","CPI-DNN",0.8,10000,"regression_combine",46,"regression",1
"147","CPI-DNN",0.8,10000,"regression_combine",47,"regression",1
"148","CPI-DNN",0.8,10000,"regression_combine",48,"regression",1
"149","CPI-DNN",0.8,10000,"regression_combine",49,"regression",1
"150","CPI-DNN",0.8,10000,"regression_combine",50,"regression",1
"151","CPI-DNN",0.8,10000,"regression_combine",51,"regression",1
"152","CPI-DNN",0.8,10000,"regression_combine",52,"regression",1
"153","CPI-DNN",0.8,10000,"regression_combine",53,"regression",1
"154","CPI-DNN",0.8,10000,"regression_combine",54,"regression",1
"155","CPI-DNN",0.8,10000,"regression_combine",55,"regression",1
"156","CPI-DNN",0.8,10000,"regression_combine",56,"regression",1
"157","CPI-DNN",0.8,10000,"regression_combine",57,"regression",1
"158","CPI-DNN",0.8,10000,"regression_combine",58,"regression",1
"159","CPI-DNN",0.8,10000,"regression_combine",59,"regression",1
"160","CPI-DNN",0.8,10000,"regression_combine",60,"regression",1
"161","CPI-DNN",0.8,10000,"regression_combine",61,"regression",1
"162","CPI-DNN",0.8,10000,"regression_combine",62,"regression",1
"163","CPI-DNN",0.8,10000,"regression_combine",63,"regression",1
"164","CPI-DNN",0.8,10000,"regression_combine",64,"regression",1
"165","CPI-DNN",0.8,10000,"regression_combine",65,"regression",1
"166","CPI-DNN",0.8,10000,"regression_combine",66,"regression",1
"167","CPI-DNN",0.8,10000,"regression_combine",67,"regression",1
"168","CPI-DNN",0.8,10000,"regression_combine",68,"regression",1
"169","CPI-DNN",0.8,10000,"regression_combine",69,"regression",1
"170","CPI-DNN",0.8,10000,"regression_combine",70,"regression",1
"171","CPI-DNN",0.8,10000,"regression_combine",71,"regression",1
"172","CPI-DNN",0.8,10000,"regression_combine",72,"regression",1
"173","CPI-DNN",0.8,10000,"regression_combine",73,"regression",1
"174","CPI-DNN",0.8,10000,"regression_combine",74,"regression",1
"175","CPI-DNN",0.8,10000,"regression_combine",75,"regression",1
"176","CPI-DNN",0.8,10000,"regression_combine",76,"regression",1
"177","CPI-DNN",0.8,10000,"regression_combine",77,"regression",1
"178","CPI-DNN",0.8,10000,"regression_combine",78,"regression",1
"179","CPI-DNN",0.8,10000,"regression_combine",79,"regression",1
"180","CPI-DNN",0.8,10000,"regression_combine",80,"regression",1
"181","CPI-DNN",0.8,10000,"regression_combine",81,"regression",1
"182","CPI-DNN",0.8,10000,"regression_combine",82,"regression",1
"183","CPI-DNN",0.8,10000,"regression_combine",83,"regression",1
"184","CPI-DNN",0.8,10000,"regression_combine",84,"regression",1
"185","CPI-DNN",0.8,10000,"regression_combine",85,"regression",1
"186","CPI-DNN",0.8,10000,"regression_combine",86,"regression",1
"187","CPI-DNN",0.8,10000,"regression_combine",87,"regression",1
"188","CPI-DNN",0.8,10000,"regression_combine",88,"regression",1
"189","CPI-DNN",0.8,10000,"regression_combine",89,"regression",1
"190","CPI-DNN",0.8,10000,"regression_combine",90,"regression",1
"191","CPI-DNN",0.8,10000,"regression_combine",91,"regression",1
"192","CPI-DNN",0.8,10000,"regression_combine",92,"regression",1
"193","CPI-DNN",0.8,10000,"regression_combine",93,"regression",1
"194","CPI-DNN",0.8,10000,"regression_combine",94,"regression",1
"195","CPI-DNN",0.8,10000,"regression_combine",95,"regression",1
"196","CPI-DNN",0.8,10000,"regression_combine",96,"regression",1
"197","CPI-DNN",0.8,10000,"regression_combine",97,"regression",1
"198","CPI-DNN",0.8,10000,"regression_combine",98,"regression",1
"199","CPI-DNN",0.8,10000,"regression_combine",99,"regression",1
"200","CPI-DNN",0.8,10000,"regression_combine",100,"regression",1
